movie_id,movie_name,cinema,classification,release_date,duration_minutes
6a5df42300eaf655358fad1831907142,Tejas,hindi,,2023-10-27,122.0
6d682b5f1a2895f1336e3e4f0de4b385,Sajini Shinde Ka Viral Video,hindi,,2023-10-27,122.0
4da6b8bf07df2cf1ca4f341162466c4d,Otta,malayalam,UA,2023-10-27,148.0
6d01fa781068f93cfe985e6ca78ad7f0,Lingoccha,telugu,UA,2023-10-27,139.0
18f7b40078397e61739cd6c64662bee2,Imbam,malayalam,,2023-10-27,122.0
7ff119b730fecbfa8acd10b74e803b23,Aankh Micholi,hindi,,2023-10-27,121.0
3eacf7bb1c90593deb4a40aaf365a4d8,12th Fail,hindi,U,2023-10-27,147.0
e6b55b03b4e75db399441da31cd1d6e4,1080 : The Legacy Of Mahaveer,hindi,,2023-10-27,121.0
88d24919800f3462e7e7982533c55bbc,Pulimada,malayalam,,2023-10-26,122.0
363b6743bf32a6bb55f0747b5d40b41e,Yaariyan 2,hindi,,2023-10-20,122.0
d9396e764493913707c3885f9a8c3bf8,Tiger Nageswara Rao,telugu,,2023-10-20,181.0
0d61b84c195bfd781ffced524360e388,Pyaar Hai Toh Hai,hindi,UA,2023-10-20,134.0
04c9b01b2ddfa946f3beb3e86300839f,Ganapath Part-1,hindi,UA,2023-10-20,134.0
5beae04b3a12f7995c3a65ce268dd27c,Aadu Jeevitham,malayalam,,2023-10-20,135.0
4f9763f8f3c25e7655068b7db3397b67,LeoLeo,tamil,,2023-10-19,124.0
672e93db3be6d5ab0b91988b981a7ab1,Leo,tamil,UA,2023-10-19,163.0
635b0669046c4cd784252726c4df3f9c,Dawshom Awbotaar,bengali,,2023-10-19,
e77d0f67d7538c1fb3c9562d578f394b,Bhagavanth Kesari,telugu,UA,2023-10-19,155.0
3974a00de956296445ad8060fe959d35,Bagha Jatin,bengali,,2023-10-19,
59dca1d9c6930540b7301875453d38af,Jongole Mitin Mashi,bengali,,2023-10-18,
6e851d34ba6a366f0bfec434e74dfa83,Vesha,kannada,UA,2023-10-13,116.0
56f4b49b44137ab07b9f5f71ba2fa8f0,Rahel Makan Kora,malayalam,U,2023-10-13,132.0
e459204227369b249309c2f245ef2f78,Neethone Nenu,telugu,U,2023-10-13,126.0
8db1972b4dc403e87250661bcc5381b1,KL 58 S-4330 Ottayan,malayalam,U,2023-10-13,144.0
73e8b6d8d8eddc11c0ee95b4f1a6f540,Jalapata,kannada,U,2023-10-13,128.0
622eb35beba4e740a810fe8c9100f006,Hum Tumhe Chahte Hai,hindi,UA,2023-10-13,111.0
88d23429232888f8b9dd7b97bb942a15,Guthlee Ladoo,hindi,U,2023-10-13,105.0
c8022df774dcb45f8524684aeda529b6,Dhak Dhak,hindi,UA,2023-10-13,140.0
007d0c800fa8b11f4d26ce7bf421ba8c,Darran Chhoo,hindi,UA,2023-10-13,135.0
c25842d7932b8530ce47bd8c4963f019,Daak,marathi,UA,2023-10-13,102.0
420f2682ca27946fc591f73c079b8eef,Bakhad Jantar,gujarati,UA,2023-10-13,111.0
3fa0c6598cf99130f559b00920cb6017,The Road,tamil,UA,2023-10-06,143.0
bb4bcd206e58ef468ef346b92ea8dfea,Thank You For Coming,hindi,A,2023-10-06,118.0
f3853badc334bef44aa5a04e149514c5,Somante Krithavu,malayalam,U,2023-10-06,121.0
1b55c6a06da2601af6aa4ac97a6bde3a,Shot Boot Three,tamil,U,2023-10-06,117.0
